Chu Văn An,15.8892445,108.3249941
Phạm Ngọc Thạch,15.8898538,108.3214399
Đoàn Thị Điểm,15.8897874,108.3252206
Chế Lan Viên,15.8906037,108.3229103
Đường Hồ Xuân Hương,16.0383271,108.2430584
Đường 30 Tháng 4,16.0406673,108.2220239
Đường Duy Tân,16.0497454,108.2104828
Đường Núi Thành,16.029844,108.2225905
Đường Cầm Bá Thước,16.0431377,108.2134117
Đường Hồ Tông Thốc,16.0404581,108.212282
Đường Nguyễn Xuân Ôn,16.0419023,108.2130349
Đường Lê Khôi,16.0418302,108.212555
Đường Vũ Hữu,16.0421105,108.2109785
Đường Ỷ Lan Nguyên Phi,16.0414185,108.220872
Đường Tố Hữu,16.0339912,108.2150624
Đường Lương Nhữ Hộc,16.0365843,108.2116735
Đường Nguyễn Quang Bích,16.0418302,108.212555
Đường Nguyễn Hữu Thọ,16.029202,108.207956
Đường Huy Cận,16.0327697,108.2155964
Đường Nguyễn Đăng Đạo,16.0358993,108.2086325
Đường Hàn Thuyên,16.040569,108.2209468
Đường Thăng Long,16.0041069,108.1970255
Đường Thành Thái,16.0201249,108.2066926
Đường Bình Thái 1,16.0133661,108.2046944
Đường Hà Tông Quyền,16.0206587,108.2067555
Đường Đinh Châu,16.0089763,108.197697
Đường Thanh Sơn,16.0798536,108.2140233
Đường Thanh Long,16.084609,108.2150776
Đường Thanh Hải,16.082859,108.2133076
Đường Thanh Thủy,16.0854213,108.2150564
Đường Lý Tự Trọng,16.0770291,108.2180914
Đường Lê Văn Long,16.0795466,108.2151224
Đường Hải Sơn,16.0815135,108.2151205
Đường Pasteur,16.0702926,108.220352
Đường Hải Hồ,16.0787087,108.2156651
Đường Võ Thị Sáu,16.0859697,108.2182049
Đường Bùi Xuân Phái,16.0865466,108.2186039
Đường Phạm Ngọc Thạch,16.0880933,108.2171279
Đường Đinh Công Tráng,16.0888076,108.2184239
Đường Xuân Diệu,16.0860069,108.219763
Đường Đỗ Quang,16.0627692,108.2133891
Đường Đặng Thai Mai,16.0606134,108.2108982
Đường Cô Bắc,16.0641357,108.2160703
