110578600:3782881037,40.037
110578600:3782881035,31.135
3782881036:3782881037,35.347
110578444:3782881035,240.246
3782881036:4294582325,89.999
3782881036:4300003291,70.943
110578444:3782898698,35.881
110578444:4300003259,173.704
110578444:4300003573,99.609
110578599:4294582325,66.39
4294582325:4300003403,25.697
4300003291:6318665007,45.993
3782898698:3782898699,155.797
4300003178:4300003259,70.364
4300003246:4300003259,25.053
420248158:4300003573,321.291
4300003573:4300003617,88.425
110578599:4300003469,72.608
4300003381:4300003403,32.444
4300003182:6318665007,54.981
6318665006:6318665007,25.832
3782898699:3782898700,139.359
4300002657:4300003178,319.281
4300003178:4300003179,24.066
4300003234:4300003246,32.452
420248158:6318665047,271.975
4300003617:4300003625,7.7
4300003469:4300003533,112.749
4300003469:4300003500,18.886
4300003372:4300003381,11.66
4300003053:4300003182,75.796
4300003182:6318664996,28.036
6318665005:6318665006,28.066
3782898700:3782898701,69.674
4300002568:4300002657,90.935
4300002652:4300002657,45.821
4300003174:4300003179,22.439
4300003224:4300003234,31.696
420248160:6318665047,37.551
6318665046:6318665047,33.877
4300003625:4300003646,12.189
4300003533:4300003537,7.385
4300003479:4300003533,37.234
4300003500:4300003562,54.523
4300003325:4300003372,46.237
4300003370:4300003372,5.937
4300003016:4300003053,21.977
6318664995:6318664996,19.136
6318665004:6318665005,21.598
3782898701:4300003605,13.168
4300002382:4300002568,33.437
4300002563:4300002568,33.03
4300002645:4300002652,43.572
4300003165:4300003174,25.938
4300003212:4300003224,99.162
420248160:6318665032,51.325
420248160:6152070784,89.096
6318665045:6318665046,18.644
4300003646:4300003690,22.097
3782881038:4300003537,113.637
4300003537:4300003559,23.807
4300003438:4300003479,37.537
4300003562:4300003588,19.614
4300003305:4300003325,9.068
4300003358:4300003370,82.219
4300002961:4300003016,67.556
6318664994:6318664995,14.283
6318665003:6318665004,16.437
3782898702:4300003605,66.151
4300003528:4300003605,63.851
4300002382:6318664985,58.125
4300002380:4300002382,30.352
4300002563:4300002565,16.864
4300002634:4300002645,73.762
4300003160:4300003165,4.508
4300003209:4300003212,11.819
420248159:6318665032,93.885
6318665032:6318665033,14.051
6152070783:6152070784,42.601
6152070784:6152071985,39.159
6318665044:6318665045,15.202
4300003690:4300003693,6.558
3782881038:4300003582,11.2
4300003559:4300003568,13.333
4300003436:4300003438,3.792
4300003588:4300003707,51.012
4300003277:4300003305,28.092
4300003351:4300003358,59.455
4300002944:4300002961,17.073
6318664993:6318664994,17.779
6318665002:6318665003,25.026
3782898702:3782898703,38.259
4300003433:4300003528,78.837
2558159096:6318664985,82.945
6318664784:6318664985,27.904
4300002373:4300002380,28.388
4300002565:4300002582,67.875
4300002633:4300002634,2.22
4300003149:4300003160,7.631
4300003183:4300003209,17.408
4300003197:4300003209,37.116
420248159:5590834575,103.278
420248159:6318665106,32.488
6318665033:6318665034,33.706
6318665043:6318665044,18.789
4300003693:4300003694,6.735
4294582431:4300003582,21.929
4300003566:4300003582,13.186
4300003568:4300003640,33.436
4300003434:4300003436,4.237
4300003436:4300003437,114.616
4300003272:4300003277,6.783
4300003277:6318664997,10.624
4300003336:4300003351,10.416
4300003351:4300003363,21.399
4300002931:4300002944,21.841
6318664992:6318664993,21.558
6318665001:6318665002,9.817
3782898703:3782898704,26.204
4300003309:4300003433,99.856
2558159096:4300001513,72.748
6318664783:6318664784,38.943
4300002356:4300002373,27.363
4300002580:4300002582,21.239
4300002632:4300002633,2.18
4300003140:4300003149,7.612
4300003136:4300003183,31.416
4300003190:4300003197,26.001
3782899159:5590834575,18.103
5590834575:5590834576,9.911
6318665105:6318665106,50.534
6318665034:6318665035,24.694
6318665042:6318665043,14.243
4300003688:4300003694,9.455
4294582431:4300003596,6.833
4300003561:4300003566,6.281
4300003640:4300003677,16.544
4300003419:4300003434,14.477
4300003437:4300003470,38.021
4300003437:4300003440,43.821
4300003263:4300003272,71.659
4300003265:4300003272,6.531
6318664997:6318664998,9.789
4300003276:4300003336,65.94
4300003363:4300003373,11.643
4300002922:4300002931,21.677
6318664991:6318664992,29.867
6318665000:6318665001,6.802
3782898704:4300003747,85.294
4300003230:4300003309,74.601
4294581421:4300001513,170.935
4300001490:4300001513,58.643
6318664782:6318664783,29.877
4300002350:4300002356,18.392
4300002572:4300002580,18.34
4300002630:4300002632,2.074
4300003110:4300003140,32.263
4300003066:4300003136,34.721
4300003190:4300003192,42.884
420248162:3782899159,109.875
3782899159:3782899160,8.814
5590834576:6159244588,60.726
6318665104:6318665105,58.835
6318665035:6318665036,31.106
6318665042:6318665048,8.072
4300003679:4300003688,9.712
4300003596:4300003599,10.057
4300003596:4300003635,22.764
4300003552:4300003561,18.351
4300003677:4300003713,16.581
4300003407:4300003419,13.922
4300003470:4300003473,1.704
4300003440:4300003442,4.288
4300003263:4300003264,8.788
4300003256:4300003265,11.715
6318664998:6318664999,11.307
4300003264:4300003276,17.451
4300003373:4300003407,26.6
4300002909:4300002922,35.631
6318664990:6318664991,25.012
6318664999:6318665000,9.62
4300003747:4300003767,45.102
4300003701:4300003747,49.298
4300003195:4300003230,29.356
4294581362:4294581421,129.462
4294581416:4294581421,44.799
4300001379:4300001490,16.081
6318664781:6318664782,27.461
4300002338:4300002350,95.1
4300002564:4300002572,16.501
4300002367:4300002572,54.0
4300002621:4300002630,7.503
4300003103:4300003110,14.705
4300003066:4300003069,5.103
4300003050:4300003066,18.588
4300003157:4300003192,26.229
4300003192:4300003193,4.16
420248161:420248162,114.702
3782899160:6318665095,265.669
5590834577:6159244588,56.862
6159244587:6159244588,41.074
6318665103:6318665104,27.482
6318665036:6318665037,17.251
6318665041:6318665048,11.137
6318665048:6318665049,7.309
4300003671:4300003679,12.559
110578598:4300003599,16.903
4300003635:4300003762,104.805
4300003635:4300003692,26.065
4300003546:4300003552,10.661
4300003713:4300003722,13.146
4300003473:4300003475,2.079
4300003442:4300003444,4.163
4300003245:4300003256,15.346
4300002904:4300002909,17.422
4300002903:4300002909,17.492
6318664989:6318664990,12.955
3782898705:4300003767,9.293
4300003686:4300003701,10.031
4300003193:4300003195,88.755
4300003194:4300003195,85.32
4294581315:4294581362,85.8
4294581350:4294581362,87.663
4294581415:4294581416,8.893
4300001354:4300001379,19.395
6318664780:6318664781,32.553
4300002330:4300002338,38.745
4300002564:4300002638,51.615
4300002512:4300002564,79.598
4300002341:4300002367,15.778
4300002618:4300002621,2.56
4300003096:4300003103,22.057
4300003069:4300003088,12.45
4300003046:4300003050,30.504
4300003144:4300003157,5.576
420248161:6318665027,82.209
6318665008:6318665095,11.126
6318665094:6318665095,42.444
5590834577:5590834578,35.72
6159244586:6159244587,6.084
6318665102:6318665103,63.476
6318665037:6318665051,4.888
6318665040:6318665041,13.336
6318665049:6318665050,22.669
4300003668:4300003671,3.29
110578598:3782881039,57.813
110578598:4300003569,13.74
4300003762:4300003784,26.487
4300003692:4300003718,19.89
4300003504:4300003546,31.413
4300003661:4300003722,58.627
4300003722:4300003740,11.475
4300003475:4300003482,1.47
4300003444:4300003449,7.195
4300003231:4300003245,14.679
4300002896:4300002904,22.087
4300002889:4300002903,16.081
6318664988:6318664989,5.103
3782898705:3782898706,19.607
3782898705:4300003773,30.774
4300003653:4300003686,14.317
4300003188:4300003194,71.7
3782881034:4294581315,65.846
4294581306:4294581315,44.076
4294581347:4294581350,24.671
4294581415:4294581417,8.934
4300001292:4300001354,33.837
6318664779:6318664780,26.294
4300002316:4300002330,41.856
4300002638:4300002647,25.503
4300002512:4300002639,69.44
4300002495:4300002512,32.817
4300002326:4300002341,20.306
4300002615:4300002618,2.897
4300003088:4300003096,8.433
4300003035:4300003046,57.754
4300003139:4300003144,4.055
5688905577:6318665027,86.557
6318665026:6318665027,32.665
3782899161:6318665008,124.885
6318665008:6318665009,8.248
6318665093:6318665094,10.437
5590834578:5590834579,82.418
6159244585:6159244586,65.012
6318665101:6318665102,53.724
6318665051:6318665052,16.704
6318665050:6318665051,47.409
6318665039:6318665040,19.313
4300003666:4300003668,6.01
4300003624:4300003668,20.362
3782881039:4300003614,116.35
4300003529:4300003569,45.915
4300003718:4300003737,17.031
4300003495:4300003504,34.434
4300003504:4300003522,30.216
4300003451:4300003504,44.723
4300003740:4300003787,49.221
4300003482:4300003488,2.948
4300003449:4300003450,1.768
4300003447:4300003449,3.375
4300003214:4300003231,17.049
4300002893:4300002896,4.872
4300002685:4300002889,10.015
6318664987:6318664988,8.606
3782898706:3782898707,49.339
4300003772:4300003773,14.339
4300003395:4300003653,203.797
4300003188:4300003191,3.902
3782881034:6318664741,73.053
4294581306:4294581310,106.704
4294581347:4294581349,21.443
4294581417:4294581427,55.954
4300001160:4300001292,15.013
6318664778:6318664779,26.395
4300002316:6318664775,4.896
4300002316:4300002345,28.775
4300002647:4300002649,6.171
4300002639:4300002682,93.434
4300002385:4300002495,15.507
4300002303:4300002326,22.538
4300002608:4300002615,17.851
4300003034:4300003035,5.027
4300003122:4300003139,10.223
420248164:5688905577,13.428
5688905577:6154408487,13.991
6318665025:6318665026,15.556
3782899161:6151677667,54.026
6318665009:6318665010,24.334
6318665092:6318665093,12.307
6318665091:6318665093,8.724
5590834579:5590834580,15.905
5590834579:6318665031,20.126
6159244084:6159244585,5.656
6318665100:6318665101,46.304
6318665052:6318665053,7.122
6318665038:6318665039,18.515
4300003666:4300003669,12.242
4300003598:4300003624,12.939
4300003614:4300003615,12.715
4300003614:4300003741,110.383
4300003526:4300003529,1.646
4300003737:4300003757,19.368
4300003491:4300003495,21.75
4300003522:4300003524,1.584
4300003450:4300003451,1.766
4300003787:4300003827,60.091
4300003776:4300003787,18.319
4300003488:4300003491,3.774
4300003447:4300003455,50.329
4300003206:4300003214,5.511
4300003214:6318664986,8.148
4300002688:4300002893,3.857
4300002893:4300002899,13.116
4300002679:4300002685,6.445
6318664986:6318664987,6.095
3782898707:3782898708,25.997
4300003770:4300003772,19.89
4300003301:4300003395,64.457
4300003384:4300003395,23.828
4300003191:4300003196,3.355
2558159097:6318664741,25.16
6318664740:6318664741,40.23
4294581310:4294581312,16.97
4294581349:4294581351,17.233
4294581427:4294581434,16.804
4300001150:4300001160,13.999
6318664777:6318664778,33.526
4300002312:6318664775,7.628
6318664775:6318664776,84.035
4300002345:4300002369,17.35
4300002649:4300002655,8.868
4300002682:4300002688,5.398
4300002358:4300002385,43.892
4300002025:4300002303,45.227
4300002604:4300002608,5.665
4300003034:4300003037,5.488
4300003114:4300003122,5.04
420248164:6154196560,118.56
6154408486:6154408487,32.393
6318665024:6318665025,7.824
3782899162:6151677667,67.193
